Title,URL,Description,Author,Date,News Outlet,Search Terms
Cyberagentur: Wir müssen neu über Sicherheit nachdenken,https://www.welt.de/newsticker/dpa_nt/infoline_nt/Politik__Inland_/article246889874/Cyberagentur-Wir-muessen-neu-ueber-Sicherheit-nachdenken.html,"Der russische Angriffskrieg habe viele Sachen offengelegt, die wir vorher vielleicht nicht so gesehen haben, sagt der Chef der Cyberagentur. In puncto Sicherheit gebe es hierzulande noch Luft nach oben.",Unknown,2023-08-14 03:05:48,Welt,Hackback
Merkel warnt vor Angriffen auf das Internet,https://www.welt.de/wirtschaft/article203838020/Internet-Governance-Forum-Merkel-warnt-vor-Angriffen-auf-das-Internet.html,"Das World Wide Web bedarf dringend neuer Regeln. Zunehmend werde das freie Netz zum Instrument der Politik, warnte Kanzlerin Angela Merkel auf der Messe Internet Governance Forum. Besonders eine Gefahr gelte es dringend ins Visier zu nehmen.",Unknown,2019-11-26 16:31:04,Welt,Hackback
Omid Nouripour fordert Antwort der Union: Will man in Brüssel tatsächlich mit Rechtsextremen koalieren?,https://www.rnd.de/politik/debatte-ueber-umgang-mit-politischer-gewalt-5V6URTI7BRDSXLCQIA2NHIDRIM.html,"Herr Nouripour, EU-Kommissionspräsidentin Ursula von der Leyen ist bereit, nach der Europawahl mit teilweise sehr weit rechts stehenden Parteien zusammenzuarbeiten. Gleichzeitig wollen auch die Grünen",Markus Decker,2024-05-13 00:00:00,RND,Hackback
"Ex-BND-Chef über Spionageattacken: Es gehört zu einem Staat, dass er sich wehrt",https://www.rnd.de/politik/nach-spionage-attacken-ex-bnd-chef-schindler-es-gehoert-zu-einem-staat-dass-er-sich-wehrt-JUYCIVDBBNGBVKWETL2U6PRCQE.html,"Herr Schindler, Russland und China lassen in Deutschland offenbar aggressiv spionieren. Wie nehmen Sie das als Experte wahr? Der Ukraine-Krieg hat den Geheimdienst-Aktivitäten beider Länder nochmal e",Markus Decker,2024-05-01 00:00:00,RND,"Hackback, Gefahrenabwehr Cyberraum"
Ampel-Koalition einigt sich auf Nationale Sicherheitsstrategie,https://www.rnd.de/politik/nationale-sicherheitsstrategie-koalition-erzielt-einigung-4ULTVZOLF5ELXLKPHZ7SNXQBNA.html,"Immer wieder hat die Koalition den Termin verschoben, aber nun ist die Einigung da: Am kommenden Mittwoch beschließt das Bundeskabinett nach RND-Informationen die Nationale Sicherheitsstrategie. Es se",Daniela Vates,2023-06-08 00:00:00,RND,Hackback
Faeser für aktive Cyberabwehr im Grundgesetz,https://www.rnd.de/politik/hackbacks-durch-bka-nancy-faeser-will-aktive-cyberabwehr-im-grundgesetz-M53ZE4MU3VEZBB3VEVQZSEF44A.html,"Innenministerin Nancy Faeser (SPD) will das Grundgesetz ändern, um Deutschland besser vor Cyberangriffen von feindlichen Staaten und von Kriminellen zu schützen. Dabei sollen das Bundeskriminalamt (B",Christian Rath,2023-04-03 00:00:00,RND,"Hackback, Aktive Cyberabwehr"
Claudia Plattner: Cybersicherheitsbehörde BSI wird zum ersten Mal von einer Frau geführt,https://www.rnd.de/politik/claudia-plattner-neue-bsi-chefin-amt-erstmals-von-einer-frau-gefuehrt-FFILQE4QCRCQTJ7O3Q33CM7YBI.html,"Es ist nun schon ein Vierteljahr her, dass der damalige Präsident des Bundesamtes für Sicherheit in der Informationstechnik (BSI) faktisch beurlaubt und später ganz abberufen wurde. Bundesinnenminis",Markus Decker,2023-02-07 00:00:00,RND,Hackback
Wie russische Cyberattacken westliche Sanktionen aushebeln können,https://www.rnd.de/politik/russische-cyberattacken-koennten-westliche-sanktionen-aushebeln-SFQTGDKBQKRNDBNAJXAUD4PN5E.html,"Beim Angriff Russlands auf die Ukraine hat der Kreml bislang nur begrenzt Cyberattacken eingesetzt. Doch das könnte sich bald ändern. Ziel wären unter Umständen aber Einrichtungen im Westen, um die ",,2022-04-21 00:00:00,RND,Hackback
Innenministerin Faeser zu Cybersicherheit: Wir wollen die Abwehr stärken,https://www.rnd.de/politik/abwehr-von-cyberattacken-zentrale-rolle-des-bundes-wichtig-GDIKMPPEQVEQBINNLUWMFI2VME.html,"Frau Faeser, bislang sind rund 300.000 Menschen aus der Ukraine nach Deutschland gekommen. Mit wie vielen Geflüchteten rechnen Sie? Wir haben einen furchtbaren Krieg mitten in Europa, vor dem vor all",Eva Quadbeck|Markus Decker,2022-04-01 00:00:00,RND,Hackback
Seehofer will den Staat zum Hacker machen,https://www.rnd.de/politik/seehofer-will-den-staat-zum-hacker-machen-337NRBPDRQQDNF6B2MNJ6QPRBQ.html,"Bundesinnenminister Horst Seehofer (CSU) will deutschen Sicherheitsbehörden die aktive Abwehr von Cyberattacken erlauben. Wir dürfen nicht erst dann, wenn ein Schaden entstanden ist, reagieren, sonde",,2018-10-11 00:00:00,RND,"Hackback, Aktive Cyberabwehr"
"Nationale Cybersicherheitskonferenz: Scharfe Warnungen, stumpfe Schwerter und KI",https://www.heise.de/news/Nationale-Cybersicherheitskonferenz-Scharfe-Warnungen-stumpfe-Schwerter-und-KI-9770069.html,"Keine Backups, späte Updates und Unverständnis langfristiger Auswirkungen mangelhafter IT-Sicherheit sorgen Fachleute. Sie beraten diese Woche in Potsdam.", Falk Steiner,2024-06-20 04:35:00,Heise,Hackback
Grundsatzprogramm: CDU will DSGVO-Vorgabe zur Datenminimierung in Rente schicken,https://www.heise.de/news/DSGVO-CDU-will-Vorgabe-zur-Datenminimierung-streichen-9712988.html,"""Datenschutz darf nicht zum Täterschutz werden"", schreibt die CDU in ihrem Grundsatzprogramm. Darin zeigt sie sich auch technikoptimistisch.", Stefan Krempl,2024-05-08 16:22:00,Heise,Hackback
Cyberangriffe: Ex-BND-Chef fordert Hackbacks und Knacken von Kommunikation,https://www.heise.de/news/Cyberangriffe-Ex-BND-Chef-fordert-Hackbacks-und-Knacken-von-Kommunikation-9709880.html,Nach der mutmaßlich russischen Spionage-Attacke auf die SPD verlangt der frühere BND-Chef Schindler deutlich mehr Überwachungsbefugnisse für die Geheimdienste., Stefan Krempl,2024-05-06 17:35:00,Heise,Hackback
"Kommentar zur Debatte über IT-Sicherheit: ""Die Empörten sind nackt""",https://www.heise.de/news/Kommentar-zur-Debatte-um-IT-Sicherheit-Die-Empoerten-sind-nackt-9708160.html,Deutschlands Politik beschwert sich über russische Hacker. Zurecht  aber handeln müsste sie selbst. Ein Kommentar von Falk Steiner., Falk Steiner,2024-05-04 13:41:00,Heise,Hackback
Kontraproduktiv: Viele Opfer von Cybercrime halten sich bedeckt,https://www.heise.de/select/ix/2024/3/2401814245039115385,Bei der diesjährigen IT-Defense fiel die Bestandsaufnahme der Securityexperten in Sachen Cybercrime alles andere als ermutigend aus. Hoffnung machen allerdings Erfolgsgeschichten wie die Zerschlagung des Erpressernetzwerks Hive durch deutsche und internationale Fahnder.,Jörg Riether,2024-02-22 00:00:00,Heise,Hackback
"2, 180, 2: Drei erschreckende Zahlen des Security-Jahres 2023",https://www.heise.de/news/Zu-wenig-Oeffentlichkeit-Viele-Opfer-von-Cybercrime-halten-sich-bedeckt-9619564.html,Bei der IT-Defense fiel die Security-Bestandsaufnahme alles andere als ermutigend aus. Der Bericht: Wo läuft es schlecht  und wo gibt es Hoffnung?,Jörg Riether,2024-02-06 14:13:00,Heise,Hackback
37C3: Unlock all the things!,https://www.heise.de/select/ix/2024/2/2332615285912104840,"Ohne Hacker und andere Sicherheitsexperten wüsste man vieles nicht, was man besser wissen sollte  etwa, dass gesperrte EC-Karten trotzdem nicht vor Missbrauch geschützt sind. Der endlich wieder in Präsenz abgehaltene Jahresendkongress des CCC war in vielen Belangen äußerst erhellend.","Justus Tartz, Abraham Söyler",2024-01-25 00:00:00,Heise,Hackback
"Hackbacks: Normen für ""aktive Cyberabwehr"" sollen das Schlimmste verhindern",https://www.heise.de/news/Hackbacks-Normen-fuer-aktive-Cyberabwehr-sollen-das-Schlimmste-verhindern-9536874.html,"Die Stiftung Neue Verantwortung hat 9 operative Regeln für eine ""verantwortungsvolle"" Reaktion auf bösartige Hacking-Aktivitäten aus dem Ausland aufgestellt.", Stefan Krempl,2023-11-22 16:44:00,Heise,"Hackback, Gefahrenabwehr Cyberraum, Aktive Cyberabwehr"
Leserforum,https://www.heise.de/select/ct/2023/27/2230012191107535007,,,2023-11-17 00:00:00,Heise,Hackback
Cisco IOS XE und die verschwundenen Hintertüren,https://www.heise.de/news/Cisco-IOS-XE-und-die-verschwundenen-Hintertueren-9341205.html,"Die Anzahl der offensichtlich kompromittierten Geräte ist auch in Deutschland schlagartig gefallen, was wohl kaum an den gerade erschienenen Patches liegt.",Dr. Christopher Kunz,2023-10-23 09:37:00,Heise,Hackback
Hackback: Was soll der Staat dürfen?,https://www.heise.de/select/ct/2023/24/2323412245211734044,"Staatliche Befugnisse beim Abwehren digitaler Angriffe sind ein kontroverses Thema. Der Koalitionsvertrag der Ampelregierung lehnt Hackbacks ausdrücklich ab. Doch Bundesinnenministerin Nancy Faeser (SPD) will offensive Cybermaßnahmen ermöglichen. Ob es deutschen Behörden erlaubt sein soll, Sicherheitslücken in fremden IT-Systemen heimlich auszunutzen oder gar selbst zu schaffen, ist heiß umstritten.",Falk Steiner,2023-10-20 00:00:00,Heise,"Hackback, Gefahrenabwehr Cyberraum, Aktive Cyberabwehr"
Intelligence-Driven Incident Response,https://www.heise.de/select/ix/2023/11/2323613182938404776,,Tam Hanna,2023-10-18 00:00:00,Heise,Hackback
Security: Was der Staat bei groß angelegten Cyberattacken dürfen soll,https://www.heise.de/hintergrund/Security-Was-der-Staat-bei-gross-angelegten-Cyberattacken-duerfen-soll-9329726.html,Der Koalitionsvertrag der Ampelregierung lehnt Hackbacks ausdrücklich ab. Doch Bundesinnenministerin N. Faeser (SPD) will offensive Cybermaßnahmen ermöglichen.," Falk Steiner,  Jürgen Schmidt",2023-10-12 07:00:00,Heise,"Hackback, Gefahrenabwehr Cyberraum, Aktive Cyberabwehr"
Chef der Cyberagentur: Wir müssen neu über Sicherheit nachdenken,https://www.heise.de/news/Chef-der-Cyberagentur-Wir-muessen-neu-ueber-Sicherheit-nachdenken-9243028.html,Cybersicherheit hierzulande findet der Chef der Halleschen Bundesagentur für Innovation in der Cybersicherheit ausbaufähig. Hackbacks sieht er kritisch.,,2023-08-14 07:08:00,Heise,Hackback
"Neue BSI-Chefin: ""Es muss eine sichere Ende-zu-Ende-Verschlüsselung geben""",https://www.heise.de/news/BSI-Praesidentin-Plattner-Schoenbohms-Schuhe-und-Faesers-Vorhaben-9210334.html,"Claudia Plattner ist am Freitag als neue BSI-Chefin vorgestellt worden. Für Ministerin Faeser ist sie ""die richtige Frau für eine zentrale Rolle"". ", Falk Steiner,2023-07-07 14:42:00,Heise,Hackback
Nationale Sicherheitsstrategie: Buzzwords statt Strategie  eine Analyse,https://www.heise.de/hintergrund/Cyber-Cyber-die-Nationale-Sicherheitsstrategie-eine-Analyse-9191149.html,"Die Nationale Sicherheitsstrategie ist da: Zwar fällt dabei inflationär häufig das Wort Cyber, vieles bleibt jedoch zu unkonkret. Eine Analyse von Manuel Atug.",Manuel Atug,2023-06-19 07:09:00,Heise,"Hackback, Gefahrenabwehr Cyberraum"
"Freitag: China-Spione hinter Barracuda-Angriff, aktive Cyberabwehr ohne Hackback",https://www.heise.de/news/Freitag-China-Spione-hinter-Barracuda-Angriff-aktive-Cyberabwehr-ohne-Hackback-9189415.html,Chinesische Spionage per Malware + Cyber-Sicherheit ohne Hackbacks + Verkäuferdaten in US-Webshops + E-Parkplätze tabu für Benziner + Podcast zu EU-Datengesetz,Frank Schräer,2023-06-16 04:30:00,Heise,"Hackback, Aktive Cyberabwehr"
Russischer Cyberkrieg: Faeser drängt auf Grundgesetzänderung für Hackbacks,https://www.heise.de/news/Russischer-Cyberkrieg-Faeser-draengt-auf-Grundgesetzaenderung-fuer-Hackbacks-8515235.html,Das BKA soll laut Innenministerin Faeser mit der Reform Gefahren durch massive Cyberangriffe abwehren können. Die Ampel lehnt Hackbacks eigentlich ab., Stefan Krempl,2023-04-03 13:28:00,Heise,"Hackback, Aktive Cyberabwehr"
 Kommentar: Aktive Abwehr defensiver Offensive ist Cybersicherheitsfantasie,https://www.heise.de/meinung/Kommentar-Aktive-Abwehr-defensiver-Offensive-ist-Cybersicherheitsfantasie-7474597.html,"Das Stufenmodell der ""aktiven"" Cyberabwehr ist eine irreführende politische Salamitaktik, meint Johannes 'Ijon' Rundfeldt von der AG Kritis. ", Johannes 'ijon' Rundfeldt,2023-01-31 05:00:00,Heise,"Hackback, Aktive Cyberabwehr"
"BSI-Lagebericht: ""Bedrohung so hoch wie nie""",https://www.heise.de/news/BSI-Lagebericht-Bedrohung-so-hoch-wie-nie-7320330.html,Im Lagebild zur IT-Sicherheit warnt das BSI vor einem gefährlichen Mix aus Angriffsvektoren und staatlichen und kriminellen Akteuren. , Falk Steiner,2022-10-25 15:44:00,Heise,Hackback
System Administrator Appreciation Day: So lange das Lämpchen noch glüht,https://www.heise.de/hintergrund/System-Administrator-Appreciation-Day-So-lange-das-Laempchen-noch-glueht-7191319.html,"Die Sprache der Sysadmins ist eigentlich einfach. Wie kommt die Politik dazu, zu glauben, dass ""Abstellen"" attackierender Server kein ""Gegenschlag"" sei?",Detlef Borchers,2022-07-28 22:01:00,Heise,Hackback
Die Cybersicherheitsverwahrlosung Deutschlands  Kommentar zur neuen Agenda,https://www.heise.de/meinung/Die-Cybersicherheitsverwahrlosung-Deutschlands-Kommentar-zur-neuen-Agenda-7182609.html,"Die Cybersicherheitsagenda setzt die alte Seehofer-Politik nahtlos fort. Ein kritischer Blick auf Hackbacks, Schwachstellenmanagement und praxisferne Politik.","Caroline Krohn, Manuel Atug",2022-07-19 05:34:00,Heise,"Hackback, Aktive Cyberabwehr"
Re:publica: Staatstrojaner in der Arena,https://www.heise.de/news/Re-publica-2022-Staatstrojaner-in-der-Arena-7135857.html,Zwei Jahre konnte die Re:publica nicht im echten Leben stattfinden. An einem neuen Standort in Berlin ist sie nun wieder live  und noch einmal gewachsen. ,Detlef Borchers,2022-06-09 13:35:00,Heise,Hackback
Patch me if you can: Im Krieg ist die Cyberwa(h)rheit das erste Opfer,https://www.heise.de/meinung/Patch-me-if-you-can-Im-Krieg-ist-die-Cyberwa-h-rheit-das-erste-Opfer-7060244.html,"Mit der russischen Invasion ging eine riesige Furcht vor Cyberangriffen einher   nicht nur in der Ukraine. Zu Recht? Und wenn nein, warum nicht?",David Fuhr,2022-05-07 06:00:00,Heise,Hackback
"Ukraine-Krieg: Russische Cyberattacken möglich, um die Staatskasse zu füllen ",https://www.heise.de/news/Ukraine-Krieg-Russische-Cyberattacken-moeglich-um-die-Staatskasse-zu-fuellen-7060671.html,Cyberangriffe aus Russland gegen den Westen gehören schon lange zum Alltag. Künftig könnten kriminelle Gangs häufiger im Auftrag des Kreml betrügen.  ,Christoph Dernbach,2022-04-21 08:31:00,Heise,Hackback
Auswirkungen des Ukrainekriegs auf die IT-Sicherheit in Deutschland,https://www.heise.de/select/ix/2022/5/2208807343747016276,Gibt es einen Cyberwar und ist Deutschland Teil davon? Drei Menschen aus der Security-Branche stehen iX Rede und Antwort.,Philipp Steevens,2022-04-20 00:00:00,Heise,Hackback
Im Krieg ist die Cyberwa(h)rheit das erste Opfer,https://www.heise.de/select/ix/2022/5/2207315463160408919,"Mit der russischen Invasion ging eine riesige Furcht vor Cyberangriffen nicht nur in der Ukraine einher. Zu Recht? Und wenn nein, warum nicht?",David Fuhr,2022-04-20 00:00:00,Heise,Hackback
Hackbacks: Phantomdebatte mit Risiken,https://www.heise.de/tp/features/Hackbacks-Phantomdebatte-mit-Risiken-6669918.html,Kontroverse unter Sicherheitsexperten nach Vorstoß der Ampel-Koalition. SPD-Innenministerin Faeser in Tradition von Ex-Geheimdienstler Hans-Georg Maaßen,,2022-04-12 12:00:00,Heise,"Hackback, Aktive Cyberabwehr"
Ukrainekrieg: Auswirkungen auf die IT-Sicherheit in Deutschland,https://www.heise.de/hintergrund/Ukrainekrieg-Auswirkungen-auf-die-IT-Sicherheit-in-Deutschland-6668405.html,Gibt es einen Cyberwar und ist Deutschland Teil davon? Drei Menschen aus der Security-Branche stehen uns Rede und Antwort., Philipp Steevens,2022-04-12 11:30:00,Heise,Hackback
"Hackbacks: ""Man muss sich klarmachen, was das in der Praxis bedeutet""",https://www.heise.de/tp/features/Hackbacks-Man-muss-sich-klarmachen-was-das-in-der-Praxis-bedeutet-6667761.html,"Hauke Gierow über Hackbacks als Aktionismus, die möglichen Folgen ""aktiver Cyberabwehr"" und unerledigte Hausaufgaben der Sicherheitsbehörden", Harald Neuber,2022-04-10 10:00:00,Heise,"Hackback, Aktive Cyberabwehr"
Droht ein russischer Cyberkrieg gegen Deutschland?,https://www.heise.de/tp/features/Droht-ein-russischer-Cyberkrieg-gegen-Deutschland-6667728.html,Cyberkriegs-Experte Sandro Gaycken sieht deutsche Infrastrukturen schlecht vorbereitet auf mögliche russische IT-Angriffe. Er empfiehlt Hackbacks zur Verteidigung,,2022-04-10 09:00:00,Heise,Hackback
Cyclops Blink: FBI legt Botnet des russischen Geheimdienstes lahm,https://www.heise.de/news/Cyclops-Blink-FBI-legt-Botnet-des-russischen-Geheimdienstes-lahm-6665689.html,"US-Bundespolizei ist gegen ein Botnet vorgegangen, das tausende Netzwerkgeräte umfasste. USA und Großbritannien sind sich sicher, dass Russland dahintersteckt.", Andreas Wilkens,2022-04-07 11:00:00,Heise,Hackback
"""Aktive Cyberabwehr"": Innenministerin Faeser hält Hackbacks für unvermeidbar",https://www.heise.de/news/Aktive-Cyberabwehr-Innenministerin-Faeser-haelt-Hackbacks-fuer-unvermeidbar-6661543.html,Bundesinnenministerin Nancy Faeser (SPD) rüstet angesichts des Ukraine-Kriegs für digitale Gegenschläge. Die Ampel-Koalition ist an sich gegen Hackbacks., Stefan Krempl,2022-04-03 08:19:00,Heise,"Hackback, Gefahrenabwehr Cyberraum, Aktive Cyberabwehr"
Russlands Krieg: Was droht uns im Cyberspace?,https://www.heise.de/hintergrund/Russlands-Krieg-Was-droht-uns-im-Cyberspace-6550355.html,Krieg rückt näher und die Verwundbarkeit unserer IT-Infrastruktur ist offensichtlich. Drohen jetzt reale Katastrophen durch Cyber-Attacken?, Jürgen Schmidt,2022-03-16 09:57:00,Heise,Hackback
Cyberwar gegen Russland?,https://www.heise.de/select/ix/2022/4/2203310005756411379,,David Fuhr,2022-03-16 00:00:00,Heise,Hackback
Diskrepanz zwischen erwarteten und tatsächlichen Cyberattacken im Ukraine-Krieg,https://www.heise.de/news/Diskrepanz-zwischen-erwarteten-und-tatsaechlichen-Cyberattacken-im-Ukraine-Krieg-6540223.html,Nach Russlands Invasion der Ukraine haben sich die Vorhersagen von massiven Cyberangriffen nicht bestätigt. Wird die Bedrohung durch Cyberattacken überschätzt?, Keywan Tonekaboni,2022-03-14 05:00:00,Heise,Hackback
Diskrepanz zwischen erwarteten und tatsächlichen Cyberattacken im Ukraine-Krieg,https://www.heise.de/select/ct/2022/7/2205909043443624780,"Ende Februar marschierte Russland in die Ukraine ein. Die Vorhersagen, dass massive Cyberangriffe den Beginn der Invasion einleiten, haben sich nicht bestätigt. Wird die Bedrohung durch Cyberattacken überschätzt?",Keywan Tonekaboni,2022-03-11 00:00:00,Heise,Hackback
"Kommentar zum Ukraine-Krieg: Make Windelpakete, not Cyberwar",https://www.heise.de/meinung/Kommentar-Make-Windelpakete-not-Cyberwar-6537361.html,"Die Ukraine in Anonymous-Manier mit Hacker-Know-how verteidigen? Ganz schlechte Idee, findet der Sicherheitsforscher David Fuhr.",David Fuhr,2022-03-04 15:03:00,Heise,Hackback
"Überwachung: Strobl bezeichnet Sicherheitspolitik der Ampel als ""Totalausfall""",https://www.heise.de/news/Ueberwachung-Strobl-bezeichnet-Sicherheitspolitik-der-Ampel-als-Totalausfall-6505641.html,"Big Ampel is watching you? Ganz im Gegenteil, bei der Überwachung zeigt sich die Bundesregierung zurückhaltend. Damit gefährde sie die Sicherheit der Bürger.",,2022-02-20 12:12:00,Heise,Hackback
Rechtliche Grenzen: Wenn sich Opfer von Cyberangriffen wehren,https://www.heise.de/hintergrund/Rechtliche-Grenzen-Wenn-sich-Opfer-von-Cyberangriffen-wehren-6321902.html,"Hackeraktivitäten vernichten Arbeitszeit ihrer Opfer, verschaffen ihnen Ärger mit Kunden und kosten Geld. Das lässt den Wunsch aufkommen, sich zu revanchieren.",Harald Büring,2022-01-26 09:05:00,Heise,"Hackback, Aktive Cyberabwehr"
